"","country","year","pop","continent","lifeExp","gdpPercap"
"702","India",1977,6.34e+08,"Asia",54.208,813.337323
"703","India",1982,7.08e+08,"Asia",56.596,855.7235377
"704","India",1987,7.88e+08,"Asia",58.553,976.5126756
"705","India",1992,8.72e+08,"Asia",60.223,1164.406809
"706","India",1997,9.59e+08,"Asia",61.765,1458.817442
"707","India",2002,1034172547,"Asia",62.879,1746.769454
"708","India",2007,1110396331,"Asia",64.698,2452.210407
"709","Indonesia",1952,82052000,"Asia",37.468,749.6816546
"710","Indonesia",1957,90124000,"Asia",39.918,858.9002707
"711","Indonesia",1962,99028000,"Asia",42.518,849.2897701
"712","Indonesia",1967,109343000,"Asia",45.964,762.4317721
"713","Indonesia",1972,121282000,"Asia",49.203,1111.107907
"714","Indonesia",1977,136725000,"Asia",52.702,1382.702056
"715","Indonesia",1982,153343000,"Asia",56.159,1516.872988
"716","Indonesia",1987,169276000,"Asia",60.137,1748.356961
"717","Indonesia",1992,184816000,"Asia",62.681,2383.140898
"718","Indonesia",1997,199278000,"Asia",66.041,3119.335603
"719","Indonesia",2002,211060000,"Asia",68.588,2873.91287
"720","Indonesia",2007,223547000,"Asia",70.65,3540.651564
"721","Iran",1952,17272000,"Asia",44.869,3035.326002
"722","Iran",1957,19792000,"Asia",47.181,3290.257643
"723","Iran",1962,22874000,"Asia",49.325,4187.329802
"724","Iran",1967,26538000,"Asia",52.469,5906.731805
"725","Iran",1972,30614000,"Asia",55.234,9613.818607
"726","Iran",1977,35480679,"Asia",57.702,11888.59508
"727","Iran",1982,43072751,"Asia",59.62,7608.334602
"728","Iran",1987,51889696,"Asia",63.04,6642.881371
"729","Iran",1992,60397973,"Asia",65.742,7235.653188
"730","Iran",1997,63327987,"Asia",68.042,8263.590301
"731","Iran",2002,66907826,"Asia",69.451,9240.761975
"732","Iran",2007,69453570,"Asia",70.964,11605.71449
"733","Iraq",1952,5441766,"Asia",45.32,4129.766056
"734","Iraq",1957,6248643,"Asia",48.437,6229.333562
"735","Iraq",1962,7240260,"Asia",51.457,8341.737815
"736","Iraq",1967,8519282,"Asia",54.459,8931.459811
"737","Iraq",1972,10061506,"Asia",56.95,9576.037596
"738","Iraq",1977,11882916,"Asia",60.413,14688.23507
"739","Iraq",1982,14173318,"Asia",62.038,14517.90711
"740","Iraq",1987,16543189,"Asia",65.044,11643.57268
"741","Iraq",1992,17861905,"Asia",59.461,3745.640687
"742","Iraq",1997,20775703,"Asia",58.811,3076.239795
"743","Iraq",2002,24001816,"Asia",57.046,4390.717312
"744","Iraq",2007,27499638,"Asia",59.545,4471.061906
"757","Israel",1952,1620914,"Asia",65.39,4086.522128
"758","Israel",1957,1944401,"Asia",67.84,5385.278451
"759","Israel",1962,2310904,"Asia",69.39,7105.630706
"760","Israel",1967,2693585,"Asia",70.75,8393.741404
"761","Israel",1972,3095893,"Asia",71.63,12786.93223
"762","Israel",1977,3495918,"Asia",73.06,13306.61921
"763","Israel",1982,3858421,"Asia",74.45,15367.0292
"764","Israel",1987,4203148,"Asia",75.6,17122.47986
"765","Israel",1992,4936550,"Asia",76.93,18051.52254
"766","Israel",1997,5531387,"Asia",78.269,20896.60924
"767","Israel",2002,6029529,"Asia",79.696,21905.59514
"768","Israel",2007,6426679,"Asia",80.745,25523.2771
"793","Japan",1952,86459025,"Asia",63.03,3216.956347
"794","Japan",1957,91563009,"Asia",65.5,4317.694365
"795","Japan",1962,95831757,"Asia",68.73,6576.649461
"796","Japan",1967,100825279,"Asia",71.43,9847.788607
"797","Japan",1972,107188273,"Asia",73.42,14778.78636
"798","Japan",1977,113872473,"Asia",75.38,16610.37701
"799","Japan",1982,118454974,"Asia",77.11,19384.10571
"800","Japan",1987,122091325,"Asia",78.67,22375.94189
"801","Japan",1992,124329269,"Asia",79.36,26824.89511
"802","Japan",1997,125956499,"Asia",80.69,28816.58499
"803","Japan",2002,127065841,"Asia",82,28604.5919
"804","Japan",2007,127467972,"Asia",82.603,31656.06806
"805","Jordan",1952,607914,"Asia",43.158,1546.907807
"806","Jordan",1957,746559,"Asia",45.669,1886.080591
"807","Jordan",1962,933559,"Asia",48.126,2348.009158
"808","Jordan",1967,1255058,"Asia",51.629,2741.796252
"809","Jordan",1972,1613551,"Asia",56.528,2110.856309
"810","Jordan",1977,1937652,"Asia",61.134,2852.351568
"811","Jordan",1982,2347031,"Asia",63.739,4161.415959
"812","Jordan",1987,2820042,"Asia",65.869,4448.679912
"813","Jordan",1992,3867409,"Asia",68.015,3431.593647
"814","Jordan",1997,4526235,"Asia",69.772,3645.379572
"815","Jordan",2002,5307470,"Asia",71.263,3844.917194
"816","Jordan",2007,6053193,"Asia",72.535,4519.461171
"829","Korea Dem. Rep.",1952,8865488,"Asia",50.056,1088.277758
"830","Korea Dem. Rep.",1957,9411381,"Asia",54.081,1571.134655
"831","Korea Dem. Rep.",1962,10917494,"Asia",56.656,1621.693598
"832","Korea Dem. Rep.",1967,12617009,"Asia",59.942,2143.540609
"833","Korea Dem. Rep.",1972,14781241,"Asia",63.983,3701.621503
"834","Korea Dem. Rep.",1977,16325320,"Asia",67.159,4106.301249
"835","Korea Dem. Rep.",1982,17647518,"Asia",69.1,4106.525293
"836","Korea Dem. Rep.",1987,19067554,"Asia",70.647,4106.492315
"837","Korea Dem. Rep.",1992,20711375,"Asia",69.978,3726.063507
"838","Korea Dem. Rep.",1997,21585105,"Asia",67.727,1690.756814
"839","Korea Dem. Rep.",2002,22215365,"Asia",66.662,1646.758151
"840","Korea Dem. Rep.",2007,23301725,"Asia",67.297,1593.06548
"841","Korea Rep.",1952,20947571,"Asia",47.453,1030.592226
"842","Korea Rep.",1957,22611552,"Asia",52.681,1487.593537
"843","Korea Rep.",1962,26420307,"Asia",55.292,1536.344387
"844","Korea Rep.",1967,30131000,"Asia",57.716,2029.228142
"845","Korea Rep.",1972,33505000,"Asia",62.612,3030.87665
"846","Korea Rep.",1977,36436000,"Asia",64.766,4657.22102
"847","Korea Rep.",1982,39326000,"Asia",67.123,5622.942464
"848","Korea Rep.",1987,41622000,"Asia",69.81,8533.088805
"849","Korea Rep.",1992,43805450,"Asia",72.244,12104.27872
"850","Korea Rep.",1997,46173816,"Asia",74.647,15993.52796
"851","Korea Rep.",2002,47969150,"Asia",77.045,19233.98818
"852","Korea Rep.",2007,49044790,"Asia",78.623,23348.13973
"853","Kuwait",1952,160000,"Asia",55.565,108382.3529
"854","Kuwait",1957,212846,"Asia",58.033,113523.1329
"855","Kuwait",1962,358266,"Asia",60.47,95458.11176
"856","Kuwait",1967,575003,"Asia",64.624,80894.88326
"857","Kuwait",1972,841934,"Asia",67.712,109347.867
"858","Kuwait",1977,1140357,"Asia",69.343,59265.47714
"859","Kuwait",1982,1497494,"Asia",71.309,31354.03573
"860","Kuwait",1987,1891487,"Asia",74.174,28118.42998
"861","Kuwait",1992,1418095,"Asia",75.19,34932.91959
"862","Kuwait",1997,1765345,"Asia",76.156,40300.61996
"863","Kuwait",2002,2111561,"Asia",76.904,35110.10566
"864","Kuwait",2007,2505559,"Asia",77.588,47306.98978
"865","Lebanon",1952,1439529,"Asia",55.928,4834.804067
"866","Lebanon",1957,1647412,"Asia",59.489,6089.786934
"867","Lebanon",1962,1886848,"Asia",62.094,5714.560611
"868","Lebanon",1967,2186894,"Asia",63.87,6006.983042
"869","Lebanon",1972,2680018,"Asia",65.421,7486.384341
"870","Lebanon",1977,3115787,"Asia",66.099,8659.696836
"871","Lebanon",1982,3086876,"Asia",66.983,7640.519521
"872","Lebanon",1987,3089353,"Asia",67.926,5377.091329
"873","Lebanon",1992,3219994,"Asia",69.292,6890.806854
"874","Lebanon",1997,3430388,"Asia",70.265,8754.96385
"875","Lebanon",2002,3677780,"Asia",71.028,9313.93883
"876","Lebanon",2007,3921278,"Asia",71.993,10461.05868
"937","Malaysia",1952,6748378,"Asia",48.463,1831.132894
"938","Malaysia",1957,7739235,"Asia",52.102,1810.066992
"939","Malaysia",1962,8906385,"Asia",55.737,2036.884944
"940","Malaysia",1967,10154878,"Asia",59.371,2277.742396
"941","Malaysia",1972,11441462,"Asia",63.01,2849.09478
"942","Malaysia",1977,12845381,"Asia",65.256,3827.921571
"943","Malaysia",1982,14441916,"Asia",68,4920.355951
"944","Malaysia",1987,16331785,"Asia",69.5,5249.802653
"945","Malaysia",1992,18319502,"Asia",70.693,7277.912802
"946","Malaysia",1997,20476091,"Asia",71.938,10132.90964
"947","Malaysia",2002,22662365,"Asia",73.044,10206.97794
"948","Malaysia",2007,24821286,"Asia",74.241,12451.6558
"997","Mongolia",1952,800663,"Asia",42.244,786.5668575
"998","Mongolia",1957,882134,"Asia",45.248,912.6626085
"999","Mongolia",1962,1010280,"Asia",48.251,1056.353958
"1000","Mongolia",1967,1149500,"Asia",51.253,1226.04113
"1001","Mongolia",1972,1320500,"Asia",53.754,1421.741975
"1002","Mongolia",1977,1528000,"Asia",55.491,1647.511665
"1003","Mongolia",1982,1756032,"Asia",57.489,2000.603139
"1004","Mongolia",1987,2015133,"Asia",60.222,2338.008304
"1005","Mongolia",1992,2312802,"Asia",61.271,1785.402016
"1006","Mongolia",1997,2494803,"Asia",63.625,1902.2521
"1007","Mongolia",2002,2674234,"Asia",65.033,2140.739323
"1008","Mongolia",2007,2874127,"Asia",66.803,3095.772271
"1045","Myanmar",1952,20092996,"Asia",36.319,331
"1046","Myanmar",1957,21731844,"Asia",41.905,350
"1047","Myanmar",1962,23634436,"Asia",45.108,388
"1048","Myanmar",1967,25870271,"Asia",49.379,349
"1049","Myanmar",1972,28466390,"Asia",53.07,357
"1050","Myanmar",1977,31528087,"Asia",56.059,371
"1051","Myanmar",1982,34680442,"Asia",58.056,424
"1052","Myanmar",1987,38028578,"Asia",58.339,385
"1053","Myanmar",1992,40546538,"Asia",59.32,347
"1054","Myanmar",1997,43247867,"Asia",60.328,415
"1055","Myanmar",2002,45598081,"Asia",59.908,611
"1056","Myanmar",2007,47761980,"Asia",62.069,944
"1069","Nepal",1952,9182536,"Asia",36.157,545.8657229
"1070","Nepal",1957,9682338,"Asia",37.686,597.9363558
"1071","Nepal",1962,10332057,"Asia",39.393,652.3968593
"1072","Nepal",1967,11261690,"Asia",41.472,676.4422254
"1073","Nepal",1972,12412593,"Asia",43.971,674.7881296
"1074","Nepal",1977,13933198,"Asia",46.748,694.1124398
"1075","Nepal",1982,15796314,"Asia",49.594,718.3730947
"1076","Nepal",1987,17917180,"Asia",52.537,775.6324501
"1077","Nepal",1992,20326209,"Asia",55.727,897.7403604
"1078","Nepal",1997,23001113,"Asia",59.426,1010.892138
"1079","Nepal",2002,25873917,"Asia",61.34,1057.206311
"1080","Nepal",2007,28901790,"Asia",63.785,1091.359778
"1153","Oman",1952,507833,"Asia",37.578,1828.230307
"1154","Oman",1957,561977,"Asia",40.08,2242.746551
"1155","Oman",1962,628164,"Asia",43.165,2924.638113
"1156","Oman",1967,714775,"Asia",46.988,4720.942687
"1157","Oman",1972,829050,"Asia",52.143,10618.03855
"1158","Oman",1977,1004533,"Asia",57.367,11848.34392
"1159","Oman",1982,1301048,"Asia",62.728,12954.79101
"1160","Oman",1987,1593882,"Asia",67.734,18115.22313
"1161","Oman",1992,1915208,"Asia",71.197,18616.70691
"1162","Oman",1997,2283635,"Asia",72.499,19702.05581
"1163","Oman",2002,2713462,"Asia",74.193,19774.83687
"1164","Oman",2007,3204897,"Asia",75.64,22316.19287
"1165","Pakistan",1952,41346560,"Asia",43.436,684.5971438
"1166","Pakistan",1957,46679944,"Asia",45.557,747.0835292
"1167","Pakistan",1962,53100671,"Asia",47.67,803.3427418
"1168","Pakistan",1967,60641899,"Asia",49.8,942.4082588
"1169","Pakistan",1972,69325921,"Asia",51.929,1049.938981
"1170","Pakistan",1977,78152686,"Asia",54.043,1175.921193
"1171","Pakistan",1982,91462088,"Asia",56.158,1443.429832
"1172","Pakistan",1987,105186881,"Asia",58.245,1704.686583
"1173","Pakistan",1992,120065004,"Asia",60.838,1971.829464
"1174","Pakistan",1997,135564834,"Asia",61.818,2049.350521
"1175","Pakistan",2002,153403524,"Asia",63.61,2092.712441
"1176","Pakistan",2007,169270617,"Asia",65.483,2605.94758
"1213","Philippines",1952,22438691,"Asia",47.752,1272.880995
"1214","Philippines",1957,26072194,"Asia",51.334,1547.944844
"1215","Philippines",1962,30325264,"Asia",54.757,1649.552153
"1216","Philippines",1967,35356600,"Asia",56.393,1814.12743
"1217","Philippines",1972,40850141,"Asia",58.065,1989.37407
"1218","Philippines",1977,46850962,"Asia",60.06,2373.204287
"1219","Philippines",1982,53456774,"Asia",62.082,2603.273765
"1220","Philippines",1987,60017788,"Asia",64.151,2189.634995
"1221","Philippines",1992,67185766,"Asia",66.458,2279.324017
"1222","Philippines",1997,75012988,"Asia",68.564,2536.534925
"1223","Philippines",2002,82995088,"Asia",70.303,2650.921068
"1224","Philippines",2007,91077287,"Asia",71.688,3190.481016
"1309","Saudi Arabia",1952,4005677,"Asia",39.875,6459.554823
"1310","Saudi Arabia",1957,4419650,"Asia",42.868,8157.591248
"1311","Saudi Arabia",1962,4943029,"Asia",45.914,11626.41975
"1312","Saudi Arabia",1967,5618198,"Asia",49.901,16903.04886
"1313","Saudi Arabia",1972,6472756,"Asia",53.886,24837.42865
"1314","Saudi Arabia",1977,8128505,"Asia",58.69,34167.7626
"1315","Saudi Arabia",1982,11254672,"Asia",63.012,33693.17525
"1316","Saudi Arabia",1987,14619745,"Asia",66.295,21198.26136
"1317","Saudi Arabia",1992,16945857,"Asia",68.768,24841.61777
"1318","Saudi Arabia",1997,21229759,"Asia",70.533,20586.69019
"1319","Saudi Arabia",2002,24501530,"Asia",71.626,19014.54118
"1320","Saudi Arabia",2007,27601038,"Asia",72.777,21654.83194
"1357","Singapore",1952,1127000,"Asia",60.396,2315.138227
"1358","Singapore",1957,1445929,"Asia",63.179,2843.104409
"1359","Singapore",1962,1750200,"Asia",65.798,3674.735572
"1360","Singapore",1967,1977600,"Asia",67.946,4977.41854
"1361","Singapore",1972,2152400,"Asia",69.521,8597.756202
"1362","Singapore",1977,2325300,"Asia",70.795,11210.08948
"1363","Singapore",1982,2651869,"Asia",71.76,15169.16112
"1364","Singapore",1987,2794552,"Asia",73.56,18861.53081
"1365","Singapore",1992,3235865,"Asia",75.788,24769.8912
"1366","Singapore",1997,3802309,"Asia",77.158,33519.4766
"1367","Singapore",2002,4197776,"Asia",78.77,36023.1054
"1368","Singapore",2007,4553009,"Asia",79.972,47143.17964
"1429","Sri Lanka",1952,7982342,"Asia",57.593,1083.53203
"1430","Sri Lanka",1957,9128546,"Asia",61.456,1072.546602
"1431","Sri Lanka",1962,10421936,"Asia",62.192,1074.47196
"1432","Sri Lanka",1967,11737396,"Asia",64.266,1135.514326
"1433","Sri Lanka",1972,13016733,"Asia",65.042,1213.39553
"1434","Sri Lanka",1977,14116836,"Asia",65.949,1348.775651
"1435","Sri Lanka",1982,15410151,"Asia",68.757,1648.079789
"1436","Sri Lanka",1987,16495304,"Asia",69.011,1876.766827
"1437","Sri Lanka",1992,17587060,"Asia",70.379,2153.739222
"1438","Sri Lanka",1997,18698655,"Asia",70.457,2664.477257
"1439","Sri Lanka",2002,19576783,"Asia",70.815,3015.378833
"1440","Sri Lanka",2007,20378239,"Asia",72.396,3970.095407
"1489","Syria",1952,3661549,"Asia",45.883,1643.485354
"1490","Syria",1957,4149908,"Asia",48.284,2117.234893
"1491","Syria",1962,4834621,"Asia",50.305,2193.037133
"1492","Syria",1967,5680812,"Asia",53.655,1881.923632
"1493","Syria",1972,6701172,"Asia",57.296,2571.423014
"1494","Syria",1977,7932503,"Asia",61.195,3195.484582
"1495","Syria",1982,9410494,"Asia",64.59,3761.837715
"1496","Syria",1987,11242847,"Asia",66.974,3116.774285
"1497","Syria",1992,13219062,"Asia",69.249,3340.542768
"1498","Syria",1997,15081016,"Asia",71.527,4014.238972
"1499","Syria",2002,17155814,"Asia",73.053,4090.925331
"1500","Syria",2007,19314747,"Asia",74.143,4184.548089
"1501","Taiwan",1952,8550362,"Asia",58.5,1206.947913
"1502","Taiwan",1957,10164215,"Asia",62.4,1507.86129
"1503","Taiwan",1962,11918938,"Asia",65.2,1822.879028
"1504","Taiwan",1967,13648692,"Asia",67.5,2643.858681
"1505","Taiwan",1972,15226039,"Asia",69.39,4062.523897
"1506","Taiwan",1977,16785196,"Asia",70.59,5596.519826
"1507","Taiwan",1982,18501390,"Asia",72.16,7426.354774
"1508","Taiwan",1987,19757799,"Asia",73.4,11054.56175
"1509","Taiwan",1992,20686918,"Asia",74.26,15215.6579
"1510","Taiwan",1997,21628605,"Asia",75.25,20206.82098
"1511","Taiwan",2002,22454239,"Asia",76.99,23235.42329
"1512","Taiwan",2007,23174294,"Asia",78.4,28718.27684
"1525","Thailand",1952,21289402,"Asia",50.848,757.7974177
"1526","Thailand",1957,25041917,"Asia",53.63,793.5774148
"1527","Thailand",1962,29263397,"Asia",56.061,1002.199172
"1528","Thailand",1967,34024249,"Asia",58.285,1295.46066
"1529","Thailand",1972,39276153,"Asia",60.405,1524.358936
"1530","Thailand",1977,44148285,"Asia",62.494,1961.224635
"1531","Thailand",1982,48827160,"Asia",64.597,2393.219781
"1532","Thailand",1987,52910342,"Asia",66.084,2982.653773
"1533","Thailand",1992,56667095,"Asia",67.298,4616.896545
"1534","Thailand",1997,60216677,"Asia",67.521,5852.625497
"1535","Thailand",2002,62806748,"Asia",68.564,5913.187529
"1536","Thailand",2007,65068149,"Asia",70.616,7458.396327
"1645","Vietnam",1952,26246839,"Asia",40.412,605.0664917
"1646","Vietnam",1957,28998543,"Asia",42.887,676.2854478
"1647","Vietnam",1962,33796140,"Asia",45.363,772.0491602
"1648","Vietnam",1967,39463910,"Asia",47.838,637.1232887
"1649","Vietnam",1972,44655014,"Asia",50.254,699.5016441
"1650","Vietnam",1977,50533506,"Asia",55.764,713.5371196
"1651","Vietnam",1982,56142181,"Asia",58.816,707.2357863
"1652","Vietnam",1987,62826491,"Asia",62.82,820.7994449
"1653","Vietnam",1992,69940728,"Asia",67.662,989.0231487
"1654","Vietnam",1997,76048996,"Asia",70.672,1385.896769
"1655","Vietnam",2002,80908147,"Asia",73.017,1764.456677
"1656","Vietnam",2007,85262356,"Asia",74.249,2441.576404
"1657","West Bank and Gaza",1952,1030585,"Asia",43.16,1515.592329
"1658","West Bank and Gaza",1957,1070439,"Asia",45.671,1827.067742
"1659","West Bank and Gaza",1962,1133134,"Asia",48.127,2198.956312
"1660","West Bank and Gaza",1967,1142636,"Asia",51.631,2649.715007
"1661","West Bank and Gaza",1972,1089572,"Asia",56.532,3133.409277
"1662","West Bank and Gaza",1977,1261091,"Asia",60.765,3682.831494
"1663","West Bank and Gaza",1982,1425876,"Asia",64.406,4336.032082
"1664","West Bank and Gaza",1987,1691210,"Asia",67.046,5107.197384
"1665","West Bank and Gaza",1992,2104779,"Asia",69.718,6017.654756
"1666","West Bank and Gaza",1997,2826046,"Asia",71.096,7110.667619
"1667","West Bank and Gaza",2002,3389578,"Asia",72.37,4515.487575
"1668","West Bank and Gaza",2007,4018332,"Asia",73.422,3025.349798
"1669","Yemen Rep.",1952,4963829,"Asia",32.548,781.7175761
"1670","Yemen Rep.",1957,5498090,"Asia",33.97,804.8304547
"1671","Yemen Rep.",1962,6120081,"Asia",35.18,825.6232006
"1672","Yemen Rep.",1967,6740785,"Asia",36.984,862.4421463
"1673","Yemen Rep.",1972,7407075,"Asia",39.848,1265.047031
"1674","Yemen Rep.",1977,8403990,"Asia",44.175,1829.765177
"1675","Yemen Rep.",1982,9657618,"Asia",49.113,1977.55701
"1676","Yemen Rep.",1987,11219340,"Asia",52.922,1971.741538
"1677","Yemen Rep.",1992,13367997,"Asia",55.599,1879.496673
"1678","Yemen Rep.",1997,15826497,"Asia",58.02,2117.484526
"1679","Yemen Rep.",2002,18701257,"Asia",60.308,2234.820827
"1680","Yemen Rep.",2007,22211743,"Asia",62.698,2280.769906
