site_id,date,visit_no,season,location,snail_id,snail_no,sex,shell_height_mm,infection_status,trematode_species,snail_quadrat_no,snail_density,lt_height_ft,water_temp_C,air_temp_C,salinity_ppt,grass_quadrat_no,water_depth_cm,quadrat_distance_m,shoot_density,grass_species_1,no_blades_1,blade1_length_cm_1,blade2_length_cm_1,blade3_length_cm_1,blade4_length_cm_1,blade5_length_cm_1,grass_species_2,no_blades_2,blade1_length_cm_2,blade2_length_cm_2,blade3_length_cm_2,blade4_length_cm_2,blade5_length_cm_2,tin_wt_g,dry_filter_wt_g,tin_dry_filter_wt_g,wet_filter_wt_g,tin_filter_epibiont_wt_g,epibiont_biomass_mg,foil_wt_g,grass_dry_wt_g
HI,20240405,1,early summer,straits,HI_1_13,13,0,16.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_14,14,0,15.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_15,15,0,16.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_16,16,1,18.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_17,17,1,19.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_18,18,0,18.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_19,19,0,13.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_20,20,1,14.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_21,21,0,16.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_22,22,0,16.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_23,23,1,17.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_24,24,1,18.5,1,LS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_25,25,0,18.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_26,26,1,13.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_27,27,1,18.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_28,28,0,17.5,1,ZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_29,29,1,14.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_30,30,1,14.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_31,31,0,17.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_32,32,1,18.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_33,33,0,16.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_34,34,1,20.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_35,35,0,15.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_36,36,1,18.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_37,37,1,17.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_38,38,1,17.1,1,ZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_39,39,0,16.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_40,40,1,18.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_41,41,0,16.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_42,42,1,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_43,43,0,17.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_44,44,0,13.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_45,45,1,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_46,46,1,18.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_47,47,0,13.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_48,48,0,17.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_49,49,0,17.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_50,50,1,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_51,51,0,18.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_52,52,0,12.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_53,53,0,16.8,1,LS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_54,54,1,16.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_55,55,1,17.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_56,56,0,16.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_57,57,0,16.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_58,58,0,16.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_59,59,0,14.1,1,LS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_60,60,1,13.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_61,61,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_62,62,1,17.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_63,63,1,19.6,1,LS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_64,64,1,18.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_65,65,0,17.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_66,66,0,18.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_67,67,0,17.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_68,68,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_69,69,1,18.3,1,LS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_70,70,0,14.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_71,71,0,15.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_72,72,0,13.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_73,73,1,14.9,1,LS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_74,74,1,14.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_75,75,1,12.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_76,76,1,11.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_77,77,1,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_78,78,1,12.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_79,79,1,11.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_80,80,1,20.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_81,81,0,15.6,1,LS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_82,82,0,17.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_83,83,0,16.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_84,84,0,19.6,1,LS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_85,85,1,18.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_86,86,1,17.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_87,87,1,12.5,1,LS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_88,88,1,15.2,1,LS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_89,89,0,15.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_90,90,1,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_91,91,0,13.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_92,92,1,15.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_93,93,1,14.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_94,94,1,13.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_95,95,1,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_96,96,1,13.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_97,97,0,13.1,1,LS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_98,98,0,13.8,1,LS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_99,99,1,13,1,ZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,20240405,1,early summer,straits,HI_1_100,100,0,13.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_01,1,1,17.6,0, ,Q1,1,0.1,22.3,21.1,28.7,Q1,23.2,9.53,38,halodule,5,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_02,2,1,15,0,,Q2,11,,,,,Q2,12,4.45,165,halodule,5,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_03,3,1,16.6,0, ,Q3,16,,,,,Q3,21,3.76,215,halodule,5,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_04,4,1,17.7,0, ,Q4,12,,,,,Q4,19.4,3.49,140,halodule,5,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_05,5,1,16,0, ,Q5,0,,,,,Q5,20.2,5.71,156,halodule,5,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_06,6,0,15.6,0, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_07,7,0,15.4,0, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_08,8,1,15.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_09,9,0,16.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_10,10,1,15.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_11,11,0,14.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_12,12,0,15.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_13,13,1,15.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_14,14,1,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_15,15,0,16.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_16,16,1,16.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_17,17,0,16.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_18,18,0,15.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_19,19,1,15.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_20,20,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_21,21,1,14.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_22,22,0,14.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_23,23,0,16.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_24,24,1,16.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_25,25,0,15.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_26,26,1,15.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_27,27,0,16.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_28,28,1,16.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_29,29,1,15.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_30,30,0,15.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_31,31,0,17.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_32,32,1,15.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_33,33,0,16.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_34,34,0,14.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_35,35,1,17.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_36,36,1,17.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_37,37,1,17.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_38,38,1,17.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_39,39,1,17.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_40,40,0,15.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_41,41,0,15.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_42,42,1,17.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_43,43,0,15.9,1,ZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_44,44,1,16.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_45,45,1,16.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_46,46,1,17.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_47,47,0,14.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_48,48,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_49,49,0,16.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_50,50,1,16.1,1,ZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_51,51,0,15.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_52,52,0,16.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_53,53,1,18.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_54,54,1,17.9,1,ZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_55,55,1,18.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_56,56,1,19.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_57,57,0,15.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_58,58,0,16.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_59,59,0,15.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_60,60,1,16.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_61,61,1,16.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_62,62,1,14.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_63,63,1,18.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_64,64,0,16.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_65,65,1,13.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_66,66,1,15.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_67,67,0,15.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_68,68,1,17.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_69,69,0,14.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_70,70,0,16.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_71,71,0,14.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_72,72,0,15.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_73,73,1,16.6,1,ZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_74,74,1,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_75,75,1,15.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_76,76,1,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_77,77,1,14.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_78,78,0,15.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_79,79,0,17.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_80,80,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_81,81,0,17.3,1,ZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_82,82,0,14.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_83,83,1,16.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_84,84,1,14.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_85,85,1,15.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_86,86,1,16.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_87,87,1,17.3,1,ZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_88,88,0,15.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_89,89,0,16.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_90,90,0,15.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_91,91,1,16.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_92,92,1,17.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_93,93,1,17.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKS,20240423,1,early summer,bogue,PKS_1_94,94,1,18.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
